date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:34	1118/1118	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222f5f2e7e10e975d563e2515ca4585b5a%22	https://portfolio-n4sn.vercel.app/robots.txt		(from )
00:19:34	38045/38045	---MCZ	200	added ('OK')	text/html	etag:W/%22104aed5344b475e69bc5e99f39ffea06%22	https://portfolio-n4sn.vercel.app/	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/index.html	(from )
00:19:35	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22043835cfa70589f36185a7969781649f%22	https://portfolio-n4sn.vercel.app/favicon.ico	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/favicon.ico	(from https://portfolio-n4sn.vercel.app/)
00:19:35	2613/2613	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222f5f2e7e10e975d563e2515ca4585b5a%22	https://portfolio-n4sn.vercel.app/icon.svg	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/icon.1.delayed	(from https://portfolio-n4sn.vercel.app/)
00:19:36	2613/2613	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222f5f2e7e10e975d563e2515ca4585b5a%22	https://portfolio-n4sn.vercel.app/apple-touch-icon.png	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/apple-touch-icon.2.delayed	(from https://portfolio-n4sn.vercel.app/)
00:19:36	316/316	---M--	200	added ('OK')	application/manifest+json	etag:%229e4aada5c78dcafbde3148b40628fdc8%22	https://portfolio-n4sn.vercel.app/site.webmanifest	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/site.webmanifest	(from https://portfolio-n4sn.vercel.app/)
00:19:37	65016/65016	---MCZ	200	added ('OK')	text/css	etag:W/%22fd83b4ce40c62c8755f56bee43b8d56f%22	https://portfolio-n4sn.vercel.app/_next/static/css/7d74b074a6224d17.css	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/css/7d74b074a6224d17.css	(from https://portfolio-n4sn.vercel.app/)
00:19:38	91461/91461	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240ccea369337cec877151c906f22814d%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/polyfills-0d1b80a048d4787e.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/polyfills-0d1b80a048d4787e.js	(from https://portfolio-n4sn.vercel.app/)
00:19:38	3175/3175	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e88bb0da3bc0e22cf8cde5bae419e0d%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/webpack-8da0e3083cad78e2.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/webpack-8da0e3083cad78e2.js	(from https://portfolio-n4sn.vercel.app/)
00:19:39	141564/141564	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223f00b44b46c33b247bc1a688807dd0c%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/framework-ae4f43955bfa5ddc.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/framework-ae4f43955bfa5ddc.js	(from https://portfolio-n4sn.vercel.app/)
00:19:39	106502/106502	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6a26f743f6a0dff40c97cef6e4ec36b%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/main-1ab6d2778152c4f4.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/main-1ab6d2778152c4f4.js	(from https://portfolio-n4sn.vercel.app/)
00:19:40	1144/1144	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b80eca255467432f0a33170ed79989a4%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/pages/_app-5781636d55508003.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/pages/_app-5781636d55508003.js	(from https://portfolio-n4sn.vercel.app/)
00:19:40	22162/22162	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ca355c0b39b1f26aec77d3d3c2d62f6b%22	https://portfolio-n4sn.vercel.app/_next/static/chunks/623-2c3c41e15c2933e8.js	F:httrack/https___portfolio-n4sn.vercel.app_/portfolio-n4sn.vercel.app/_next/static/chunks/623-2c3c41e15c2933e8.js	(from https://portfolio-n4sn.vercel.app/)
